volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
0.0,1620259200.0,ok,0.5295,0.5295,0.5295,0.0,0.5295,2021-05-05 19:00:00,BTC-25JUN21-28000-C
2.2,1620345600.0,ok,0.5,0.5,0.542,1.1472,0.5385,2021-05-06 19:00:00,BTC-25JUN21-28000-C
0.0,1620432000.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-07 19:00:00,BTC-25JUN21-28000-C
0.0,1620518400.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-08 19:00:00,BTC-25JUN21-28000-C
0.0,1620604800.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-09 19:00:00,BTC-25JUN21-28000-C
0.0,1620691200.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-10 19:00:00,BTC-25JUN21-28000-C
0.0,1620777600.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-11 19:00:00,BTC-25JUN21-28000-C
0.0,1620864000.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-12 19:00:00,BTC-25JUN21-28000-C
0.0,1620950400.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-13 19:00:00,BTC-25JUN21-28000-C
0.0,1621036800.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-14 19:00:00,BTC-25JUN21-28000-C
0.0,1621123200.0,ok,0.5385,0.5385,0.5385,0.0,0.5385,2021-05-15 19:00:00,BTC-25JUN21-28000-C
12.0,1621209600.0,ok,0.3945,0.3945,0.448,4.9369,0.448,2021-05-16 19:00:00,BTC-25JUN21-28000-C
0.0,1621296000.0,ok,0.448,0.448,0.448,0.0,0.448,2021-05-17 19:00:00,BTC-25JUN21-28000-C
4.4,1621382400.0,ok,0.3145,0.3115,0.3575,1.4554,0.3575,2021-05-18 19:00:00,BTC-25JUN21-28000-C
0.3,1621468800.0,ok,0.1715,0.1715,0.334,0.08395,0.334,2021-05-19 19:00:00,BTC-25JUN21-28000-C
0.1,1621555200.0,ok,0.1715,0.1715,0.1715,0.01715,0.1715,2021-05-20 19:00:00,BTC-25JUN21-28000-C
0.0,1621641600.0,ok,0.1715,0.1715,0.1715,0.0,0.1715,2021-05-21 19:00:00,BTC-25JUN21-28000-C
0.0,1621728000.0,ok,0.1715,0.1715,0.1715,0.0,0.1715,2021-05-22 19:00:00,BTC-25JUN21-28000-C
0.1,1621814400.0,ok,0.1715,0.1715,0.1715,0.01715,0.1715,2021-05-23 19:00:00,BTC-25JUN21-28000-C
0.2,1621900800.0,ok,0.2895,0.2895,0.2895,0.0579,0.2895,2021-05-24 19:00:00,BTC-25JUN21-28000-C
