volume,ticks,status,open,low,high,cost,close,timestamp,Instrument,Type
0,1620172800,ok,0.0145,0.0145,0.0145,0,0.0145,5/4/2021 19:00,BTC-25JUN21-20000-P,P
0.8,1620259200,ok,0.015,0.015,0.015,0.012,0.015,5/5/2021 19:00,BTC-25JUN21-20000-P,P
10.4,1620345600,ok,0.0005,0.0005,0.002,0.0058,0.002,5/6/2021 19:00,BTC-25JUN21-20000-P,P
0,1620432000,ok,0.002,0.002,0.002,0,0.002,5/7/2021 19:00,BTC-25JUN21-20000-P,P
0,1620518400,ok,0.002,0.002,0.002,0,0.002,5/8/2021 19:00,BTC-25JUN21-20000-P,P
0,1620604800,ok,0.002,0.002,0.002,0,0.002,5/9/2021 19:00,BTC-25JUN21-20000-P,P
0,1620691200,ok,0.002,0.002,0.002,0,0.002,5/10/2021 19:00,BTC-25JUN21-20000-P,P
0.4,1620777600,ok,0.0025,0.0025,0.0025,0.001,0.0025,5/11/2021 19:00,BTC-25JUN21-20000-P,P
37.2,1620864000,ok,0.015,0.015,0.0325,0.8255,0.016,5/12/2021 19:00,BTC-25JUN21-20000-P,P
0,1620950400,ok,0.016,0.016,0.016,0,0.016,5/13/2021 19:00,BTC-25JUN21-20000-P,P
0,1621036800,ok,0.016,0.016,0.016,0,0.016,5/14/2021 19:00,BTC-25JUN21-20000-P,P
0,1621123200,ok,0.016,0.016,0.016,0,0.016,5/15/2021 19:00,BTC-25JUN21-20000-P,P
0,1621209600,ok,0.016,0.016,0.016,0,0.016,5/16/2021 19:00,BTC-25JUN21-20000-P,P
0,1621296000,ok,0.016,0.016,0.016,0,0.016,5/17/2021 19:00,BTC-25JUN21-20000-P,P
5,1621382400,ok,0.063,0.0585,0.078,0.334,0.0715,5/18/2021 19:00,BTC-25JUN21-20000-P,P
1.1,1621468800,ok,0.0725,0.0725,0.0725,0.07975,0.0725,5/19/2021 19:00,BTC-25JUN21-20000-P,P
0,1621555200,ok,0.0725,0.0725,0.0725,0,0.0725,5/20/2021 19:00,BTC-25JUN21-20000-P,P
0,1621641600,ok,0.0725,0.0725,0.0725,0,0.0725,5/21/2021 19:00,BTC-25JUN21-20000-P,P
0,1621728000,ok,0.0725,0.0725,0.0725,0,0.0725,5/22/2021 19:00,BTC-25JUN21-20000-P,P
0,1621814400,ok,0.0725,0.0725,0.0725,0,0.0725,5/23/2021 19:00,BTC-25JUN21-20000-P,P
1.2,1621900800,ok,0.009,0.009,0.011,0.012,0.011,5/24/2021 19:00,BTC-25JUN21-20000-P,P
0,1621987200,ok,0.011,0.011,0.011,0,0.011,5/25/2021 19:00,BTC-25JUN21-20000-P,P
0,1622073600,ok,0.011,0.011,0.011,0,0.011,5/26/2021 19:00,BTC-25JUN21-20000-P,P
1.6,1622160000,ok,0.008,0.008,0.0125,0.0154,0.009,5/27/2021 19:00,BTC-25JUN21-20000-P,P
0,1622246400,ok,0.009,0.009,0.009,0,0.009,5/28/2021 19:00,BTC-25JUN21-20000-P,P
0,1622332800,ok,0.009,0.009,0.009,0,0.009,5/29/2021 19:00,BTC-25JUN21-20000-P,P
0,1622419200,ok,0.009,0.009,0.009,0,0.009,5/30/2021 19:00,BTC-25JUN21-20000-P,P
0,1622505600,ok,0.009,0.009,0.009,0,0.009,5/31/2021 19:00,BTC-25JUN21-20000-P,P
0,1622592000,ok,0.009,0.009,0.009,0,0.009,6/1/2021 19:00,BTC-25JUN21-20000-P,P
0,1622678400,ok,0.009,0.009,0.009,0,0.009,6/2/2021 19:00,BTC-25JUN21-20000-P,P
0,1622764800,ok,0.009,0.009,0.009,0,0.009,6/3/2021 19:00,BTC-25JUN21-20000-P,P
0,1622851200,ok,0.009,0.009,0.009,0,0.009,6/4/2021 19:00,BTC-25JUN21-20000-P,P
0,1622937600,ok,0.009,0.009,0.009,0,0.009,6/5/2021 19:00,BTC-25JUN21-20000-P,P
0.4,1623024000,ok,0.0095,0.0095,0.0095,0.0038,0.0095,6/6/2021 19:00,BTC-25JUN21-20000-P,P
7,1622419200,ok,0.07,0.0585,0.083,0.5109,0.0585,5/30/2021 19:00,BTC-18JUN21-38000-C,C
0.5,1622505600,ok,0.0605,0.056,0.1145,0.0352,0.1145,5/31/2021 19:00,BTC-18JUN21-38000-C,C
0.1,1622592000,ok,0.1,0.1,0.1,0.01,0.1,6/1/2021 19:00,BTC-18JUN21-38000-C,C
0.3,1622678400,ok,0.0725,0.0725,0.0725,0.02175,0.0725,6/2/2021 19:00,BTC-18JUN21-38000-C,C
0,1622764800,ok,0.0725,0.0725,0.0725,0,0.0725,6/3/2021 19:00,BTC-18JUN21-38000-C,C
0,1622851200,ok,0.0725,0.0725,0.0725,0,0.0725,6/4/2021 19:00,BTC-18JUN21-38000-C,C
0,1622937600,ok,0.0725,0.0725,0.0725,0,0.0725,6/5/2021 19:00,BTC-18JUN21-38000-C,C
21,1623024000,ok,0.043,0.0255,0.092,1.0357,0.0325,6/6/2021 19:00,BTC-18JUN21-38000-C,C
3.6,1610409600,ok,0.279,0.274,0.293,1.0449,0.293,1/11/2021 18:00,BTC-25JUN21-44000-P,P
0,1610496000,ok,0.293,0.293,0.293,0,0.293,1/12/2021 18:00,BTC-25JUN21-44000-P,P
0,1610582400,ok,0.293,0.293,0.293,0,0.293,1/13/2021 18:00,BTC-25JUN21-44000-P,P
0.1,1610668800,ok,0.09,0.09,0.09,0.009,0.09,1/14/2021 18:00,BTC-25JUN21-44000-P,P
0,1610755200,ok,0.09,0.09,0.09,0,0.09,1/15/2021 18:00,BTC-25JUN21-44000-P,P
0,1610841600,ok,0.09,0.09,0.09,0,0.09,1/16/2021 18:00,BTC-25JUN21-44000-P,P
0.1,1610928000,ok,0.3,0.3,0.3,0.03,0.3,1/17/2021 18:00,BTC-25JUN21-44000-P,P
1.5,1611014400,ok,0.3,0.254,0.3,0.4454,0.254,1/18/2021 18:00,BTC-25JUN21-44000-P,P
0,1611100800,ok,0.254,0.254,0.254,0,0.254,1/19/2021 18:00,BTC-25JUN21-44000-P,P
0,1611187200,ok,0.254,0.254,0.254,0,0.254,1/20/2021 18:00,BTC-25JUN21-44000-P,P
0,1611273600,ok,0.254,0.254,0.254,0,0.254,1/21/2021 18:00,BTC-25JUN21-44000-P,P
1.5,1611360000,ok,0.3,0.3,0.3,0.45,0.3,1/22/2021 18:00,BTC-25JUN21-44000-P,P
0,1611446400,ok,0.3,0.3,0.3,0,0.3,1/23/2021 18:00,BTC-25JUN21-44000-P,P
0,1611532800,ok,0.3,0.3,0.3,0,0.3,1/24/2021 18:00,BTC-25JUN21-44000-P,P
0,1611619200,ok,0.3,0.3,0.3,0,0.3,1/25/2021 18:00,BTC-25JUN21-44000-P,P
0,1611705600,ok,0.3,0.3,0.3,0,0.3,1/26/2021 18:00,BTC-25JUN21-44000-P,P
0,1611792000,ok,0.3,0.3,0.3,0,0.3,1/27/2021 18:00,BTC-25JUN21-44000-P,P
0,1611878400,ok,0.3,0.3,0.3,0,0.3,1/28/2021 18:00,BTC-25JUN21-44000-P,P
0,1611964800,ok,0.3,0.3,0.3,0,0.3,1/29/2021 18:00,BTC-25JUN21-44000-P,P
0,1612051200,ok,0.3,0.3,0.3,0,0.3,1/30/2021 18:00,BTC-25JUN21-44000-P,P
0,1612137600,ok,0.3,0.3,0.3,0,0.3,1/31/2021 18:00,BTC-25JUN21-44000-P,P
0,1612224000,ok,0.3,0.3,0.3,0,0.3,2/1/2021 18:00,BTC-25JUN21-44000-P,P
0,1612310400,ok,0.3,0.3,0.3,0,0.3,2/2/2021 18:00,BTC-25JUN21-44000-P,P
0.7,1612396800,ok,0.2615,0.2615,0.2625,0.1834,0.262,2/3/2021 18:00,BTC-25JUN21-44000-P,P
